Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Iron,DUBLABERA,ORISSA,73 J,22 27N,86 15E,Iron,METAVOLCANICS-METASEDIMENTS,-,IRON ORE SUPER GROUP,GARUMAHISANI PROVINCE,22.45,86.25
Iron,PURNAPANI,ORISSA,73 J,22 08N,86 12E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.133333333333333,86.2
Iron,SULAIPET,ORISSA,73 J,22 08N,86 12E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.133333333333333,86.2
Iron,BETJHARAN,ORISSA,73 J,22 10N,86 25E,Iron,GABBRO-ANORTHOSITE,CONCORDANT,-,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.166666666666668,86.41666666666667
Iron,BISAI,ORISSA,73 J,22 10N,86 20E,Iron,GABBRO-ANORTHSITE,INTRUSSIVE-MAGMATIC,IRON ORE GROUP,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.166666666666668,86.33333333333333
Iron,KUMARDHUBI,ORISSA,73 J,22 15N,86 15E,Iron,GABBRO-ANORTHOSITE,CONCORDANT-MAGMATIC,-,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.25,86.25
Iron,RAIRANGPUR,ORISSA,73 J,22 15N,86 05E,Iron,GABBRO-ANORTHOSITE,MAGMATIC,IRON ORE GROUP,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.25,86.08333333333333
Iron,ALAMBADI,TAMILNADU,57 L,12 07N,78 39E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,12.116666666666667,78.65
Iron,ATTUR,TAMILNADU,58 I,11 35N,78 35E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,11.583333333333334,78.58333333333333
Iron,CHITTORI-TAINANDAMALAI,TAMILNADU,58 I,11 50N,78 30E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,11.833333333333334,78.5
Iron,KANJAMALAI,TAMILNADU,58 I,11 39N,78 10E,Iron,BMQ IN CHARNOCKITE,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),SOUTHERN GRANULITE,KANJAMALLAI-ATTUR  BELT,11.65,78.16666666666667
Iron,VALAYAPATHI-TATTAYANGIPETTAI,TAMILNADU,58 I,11 08 11 15N,78 06 78 15E,Iron,BMQ INTERBEDDED WITH PYROXENE GNEISS,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),SOUTHERN GRANULITE,KANJAMALLAI-ATTUR  BELT,,
Iron,KAPPALGUDDA,KARNATAKA,48 I,15 13 16 N,74 42 44 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR(SHIMOGA SCH),KAPPALGUDDA (SHIMOGA SCHIST) BELT,15.221111111111112,74.71222222222222
Iron,KARINAGUR,KARNATAKA,57 A,15 14 03N,76 26 17E,Iron,METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.234166666666663,76.43805555555556
Iron,MADERAHALLI,KARNATAKA,57 A,15 11 12N,76 26 29E,Iron,"METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.186666666666667,76.4413888888889
Iron,PAPINAYAKANAHALLI,KARNATAKA,57 A,15 13N,76 25 26E,Iron,"METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.216666666666669,76.4238888888889
Iron,INGILIGI,KARNATAKA,57 A,15 12 22N,76 26 30E,Iron,"PHYLLITE,SCHIST,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN  GREENSTONE,NEB RANGE (SANDUR SCHIST BELT),15.20611111111111,76.44166666666668
Iron,JAISINGPUR,KARNATAKA,57 A,15 11 13N,76 26 27E,Iron,METASEDIMENT AND METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB RANGE(SANDUR BELT),15.186944444444444,76.44083333333333
Iron,KARADIKOLLA,KARNATAKA,57 A,15 12 13N,76 26 30E,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.20361111111111,76.44166666666668
Iron,SANDUR,KARNATAKA,57 A,15 12 30N,76 27 30,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.208333333333332,
Iron,SANKALAPURAM,KARNATAKA,57 A,15 14 15N,76 25E,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.2375,76.41666666666667
Iron,VENUMBAKA-RASANUR,ANDHRA PRADESH,57 N,14 04 20 N,79 54 40 E,Iron,"PHYLLITE,SCHIST",BEDDED-VOLCANOSEDIMENTARY,DHARWAR Sgp.,NELLORE BELT,14.072222222222225,79.91111111111111
